id_ponto,latitude_wgs84,longitude_wgs84,indice_final,motivo_veto,nota_vento,nota_dist_rede,nota_declive,nota_uso_solo,nota_conservacao,vento_bruto_ms,radiacao_solar_bruta,declive_bruto_graus,solo_bruto_codigo,restricao_dados_json,dist_urbana_bruto_km,dist_rede_bruto_km,pct_intersecao_urbana
1802,-6.32488586065385,-35.84862420081618,8.52,Aprovado,9.113756613756614,8.676666666666668,6.046666666666667,8.0,10.0,6.89,5.57,5.93,21,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",5.83,19.85,0.0
511,-4.9302984138282655,-37.38815925949829,8.51,Aprovado,9.37830687830688,9.09,7.906666666666666,6.0,10.0,7.09,5.99,3.14,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",2.56,13.65,2.21
1899,-6.278890264477779,-35.713502977380415,8.51,Aprovado,9.113756613756614,7.828666666666666,4.0600000000000005,10.0,10.0,6.89,5.57,8.91,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",2.74,32.57,0.0
287,-5.745067072140147,-37.74719026000552,8.51,Aprovado,8.320105820105821,8.224,6.213333333333333,10.0,10.0,6.29,6.02,5.68,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",7.01,26.64,0.0
1475,-5.740075897650796,-36.30300859520594,8.51,Aprovado,9.695767195767196,8.632,3.706666666666667,8.0,10.0,7.33,5.97,9.44,21,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",6.66,20.52,0.0
1945,-5.55587068151448,-35.6276366059436,8.5,Aprovado,9.761904761904763,8.451333333333332,7.806666666666667,6.0,10.0,7.38,5.8,3.29,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",7.07,23.23,0.0
1014,-5.380773762197409,-36.84573875597146,8.5,Aprovado,8.981481481481483,9.818,7.486666666666666,6.0,10.0,6.79,5.97,3.77,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",3.3,2.73,0.0
513,-5.020728676464546,-37.38793918301381,8.5,Aprovado,9.37830687830688,9.003333333333334,7.966666666666667,6.0,10.0,7.09,6.02,3.05,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",7.09,14.95,0.0
589,-4.975286697590881,-37.29788260999634,8.5,Aprovado,9.37830687830688,9.106666666666666,7.74,6.0,10.0,7.09,5.99,3.39,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",11.47,13.4,0.0
2023,-6.277724858201822,-35.533006860908294,8.5,Aprovado,9.113756613756614,6.626666666666667,6.933333333333334,10.0,10.0,6.89,5.57,4.6,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",3.27,50.6,0.0
