id_ponto;latitude_wgs84;longitude_wgs84;vento_bruto_ms;radiacao_solar_bruta;declive_bruto_graus;solo_bruto_codigo;restricao_dados_json;dist_urbana_bruto_km;dist_rede_bruto_km;pct_intersecao_urbana
1257;-5,153797223056234;-36,576045182025645;7,45;5,97;2,67;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";0,45;9,59;4,31
1258;-5,198989348591251;-36,57587301909995;7,45;5,97;2,85;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";4,91;11,11;0,0
1259;-5,244181403785557;-36,57569933250191;7,45;5,97;2,68;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";9,88;14,32;0,0
1260;-5,289373388033014;-36,57552412169257;6,79;5,97;2,74;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";14,67;18,35;0,0
1261;-5,334565300727616;-36,57534738612811;6,79;5,97;2,94;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";16,47;22,77;0,0
1262;-5,379757141263502;-36,575169125259954;6,79;5,97;3,32;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";14,55;27,27;0,0
1263;-5,424948909034947;-36,57498933853462;6,79;5,97;3,12;21;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";10,5;27,74;0,0
1264;-5,4701406034363655;-36,57480802539384;6,79;5,97;3,26;21;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";7,61;29,07;0,0
1265;-5,515332223862318;-36,574625185274485;6,79;5,97;4,19;21;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";7,07;31,15;0,0
1266;-5,560523769707505;-36,57444081760858;6,79;5,97;3,02;41;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";9,41;29,3;0,0
1267;-5,605715240366778;-36,57425492182331;6,79;5,97;3,31;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";5,88;24,51;0,0
1268;-5,650906635235126;-36,574067497341;6,79;5,97;3,8;15;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";2,42;19,83;1,28
1269;-5,6960979537076915;-36,573878543579134;6,79;5,97;4,45;15;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";3,37;15,34;0,0
1270;-5,741289195179762;-36,573688059950285;6,79;5,97;5,56;15;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";5,82;11,3;0,0
1271;-5,786480359046773;-36,57349604586225;6,73;5,97;6,35;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";10,1;8,36;0,0
1272;-5,831671444704314;-36,573302500717865;6,73;5,97;5,02;21;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";14,69;7,88;0,0
1273;-5,876862451548124;-36,57310742391513;6,73;5,97;7,03;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";10,64;10,22;0,0
1274;-5,922053378974095;-36,57291081484718;6,73;5,97;5,44;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";7,79;14,02;0,0
1275;-5,967244226378274;-36,57271267290221;6,73;5,97;6,4;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";7,62;11,6;0,0
1276;-6,01243499315686;-36,57251299746361;6,73;5,85;20,41;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";10,24;7,49;0,0
1277;-6,0576256787062075;-36,5723117879098;6,73;5,85;7,89;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";9,44;5,27;0,0
1278;-6,102816282422836;-36,57210904361434;6,73;5,85;4,04;41;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";9,0;7,03;0,0
1279;-6,148006803703414;-36,571904763945874;6,73;5,85;15,14;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";10,39;11,0;0,0
1280;-6,193197241944777;-36,571698948268136;6,73;5,85;8,66;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";6,24;8,51;0,0
1281;-6,238387596543913;-36,57149159593995;6,73;5,85;9,31;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";3,8;4,18;0,0
1282;-6,283577866897978;-36,571282706315216;6,81;5,85;13,7;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";3,6;3,53;0,0
1283;-6,328768052404295;-36,57107227874294;6,81;5,85;11,43;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";6,72;7,58;0,0
1284;-6,373958152460337;-36,57086031256717;6,81;5,85;7,9;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";9,29;12,35;0,0
1285;-6,419148166463757;-36,57064680712701;6,81;5,85;20,33;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 6.07, ""Nenhuma"": 93.93}";7,09;17,25;0,0
1286;-6,464338093812367;-36,57043176175668;6,81;5,85;22,17;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";6,96;22,19;0,0
1287;-6,509527933904149;-36,57021517578538;6,81;5,85;25,98;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";5,09;27,16;0,0
1288;-6,5547176861372485;-36,56999704853742;6,81;5,85;16,11;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";0,99;27,88;5,74
